dt_kst,open,close,low,high,acc_price,acc_vol,mid,eye_base,eye_trans,eye_fore1,eye_fore2,eye_fore_diff,mid_eye_fore1,mid_eye_fore2,mid_eye_fore,mid_eye_fore_pre,eye_trans_base,low_point,high_point,ma40,mid_ma40,ema112,mid_ema112,good
2018-01-11 10:00:00,21038000.0,21170000.0,20735000.0,21198000.0,16015200001.8,760.63428943,20966500.0,20976000.0,20894500.0,22123250.0,22448000.0,-0.014679127162600432,-0.05517134476426681,-0.07066033911239358,under,under,under,False,False,21685350.0,under,23330017.85714286,under,False
2018-01-11 10:30:00,21169000.0,21799000.0,21044000.0,21820000.0,23115471028.6,1080.29628101,21432000.0,20976000.0,20894500.0,22123250.0,22448000.0,-0.014679127162600432,-0.03225317282568122,-0.04740574841358716,under,under,under,False,False,21648575.0,under,23303616.07142857,under,False
2018-01-11 11:00:00,21800000.0,21225000.0,21203000.0,21890000.0,19683268322.1,918.72482345,21546500.0,20976000.0,20789500.0,22148250.0,22448000.0,-0.01353380063887666,-0.027927969739864944,-0.041839741953449514,under,under,under,False,True,21600750.0,under,23269053.57142857,under,False
2018-01-11 11:30:00,21225000.0,21106000.0,20928000.0,21400000.0,11798403438.4,557.2571796,21164000.0,20976000.0,20789500.0,22011750.0,22448000.0,-0.019818960328006632,-0.04005622755622756,-0.06066906066906067,under,under,under,False,False,21568400.0,under,23234419.64285714,under,False
2018-01-11 12:00:00,21105000.0,20311000.0,20260000.0,21147000.0,28431204116.4,1387.40457378,20703500.0,20976000.0,20789500.0,22011750.0,22448000.0,-0.019818960328006632,-0.0631897988262854,-0.08426111527036491,under,under,under,False,False,21559825.0,under,23190321.42857143,under,False
2018-01-11 12:30:00,20311000.0,18500000.0,18460000.0,20311000.0,41814988391.6,2168.04131454,19385500.0,20361500.0,20175000.0,22011750.0,22448000.0,-0.019818960328006632,-0.13547496840421966,-0.15797890175646745,under,under,under,False,False,21465825.0,under,23131571.42857143,under,False
2018-01-11 13:00:00,18478000.0,17010000.0,16740000.0,19230000.0,64726830089.1,3646.9985359,17985000.0,19501500.0,19315000.0,22011750.0,22448000.0,-0.019818960328006632,-0.22389491242702253,-0.24815123714206283,under,under,under,False,False,21347700.0,under,23061839.285714287,under,False
2018-01-11 13:30:00,17005000.0,17500000.0,14104000.0,17665000.0,63537476565.3,3985.95587605,15884500.0,18183500.0,17997000.0,21973000.0,22448000.0,-0.02161743958494516,-0.38329818376404673,-0.41320154867953035,under,under,under,True,False,21256850.0,under,22995062.5,under,False
2018-01-11 14:00:00,17603000.0,17350000.0,16580000.0,18883000.0,58349851878.1,3277.72735264,17731500.0,18183500.0,17997000.0,21887750.0,22448000.0,-0.02559650946305582,-0.234399233003412,-0.2659955446521727,under,under,under,False,True,21143100.0,under,22925428.57142857,under,False
2018-01-11 14:30:00,17350000.0,17040000.0,16468000.0,18280000.0,45654236108.8,2620.27547185,17374000.0,18183500.0,17997000.0,21887750.0,22448000.0,-0.02559650946305582,-0.25979912512950387,-0.29204558535743064,under,under,under,True,False,21016750.0,under,22853321.42857143,under,False
2018-01-11 15:00:00,17010000.0,18160000.0,17010000.0,18197000.0,39698821302.9,2248.65899317,17603500.0,18183500.0,17997000.0,21887750.0,22448000.0,-0.02559650946305582,-0.24337489703752094,-0.2752009543556679,under,under,under,False,False,20926650.0,under,22793008.92857143,under,False
2018-01-11 15:30:00,18160000.0,18500000.0,17610000.0,18500000.0,36461219339.5,2013.42262439,18055000.0,18183500.0,17752000.0,21768000.0,22448000.0,-0.03123851525174568,-0.20564940459706452,-0.24331210191082803,under,under,under,False,False,20835175.0,under,22741446.42857143,under,False
2018-01-11 16:00:00,18500000.0,19001000.0,18222000.0,19750000.0,45639511389.9,2406.86276169,18986000.0,18146500.0,17625500.0,21780000.0,22432500.0,-0.029958677685950414,-0.14716106604866744,-0.18152849468029075,under,under,under,False,False,20748200.0,under,22689053.57142857,under,False
2018-01-11 16:30:00,19047000.0,19941000.0,19010000.0,20490000.0,42109576112.7,2121.90204164,19750000.0,18102000.0,17297000.0,21743500.0,22431000.0,-0.031618644652424865,-0.10093670886075949,-0.13574683544303798,under,under,under,False,False,20687975.0,under,22641830.35714286,under,False
2018-01-11 17:00:00,19941000.0,20612000.0,19941000.0,21247000.0,42650367895.7,2054.57779712,20594000.0,18102000.0,17675500.0,21753500.0,22419500.0,-0.030615762980669776,-0.05630280664271147,-0.08864232300670098,under,under,under,False,True,20657525.0,under,22601482.14285714,under,False
2018-01-11 17:30:00,20599000.0,19526000.0,18812000.0,20604000.0,39562980431.0,2019.37508353,19708000.0,18102000.0,17675500.0,21742750.0,22419500.0,-0.031125317634613837,-0.10324487517759286,-0.13758372234625532,under,under,under,True,False,20616400.0,under,22550660.714285713,under,False
2018-01-11 18:00:00,19538000.0,19724000.0,19300000.0,20250000.0,24734343241.3,1249.69148386,19775000.0,18102000.0,18857500.0,21789750.0,22419500.0,-0.028901203547539556,-0.10188369152970923,-0.13372945638432365,under,under,over,False,False,20573250.0,under,22501883.92857143,under,False
2018-01-11 18:30:00,19717000.0,19695000.0,19143000.0,19790000.0,18681519036.7,957.79537607,19466500.0,18102000.0,18857500.0,21789750.0,22419500.0,-0.028901203547539556,-0.11934605604500038,-0.15169650425089257,under,under,over,True,False,20536825.0,under,22450669.64285714,under,False
2018-01-11 19:00:00,19645000.0,19700000.0,19470000.0,19928000.0,13874292881.0,704.81984786,19699000.0,18102000.0,19128500.0,21789750.0,22419500.0,-0.028901203547539556,-0.10613482917914616,-0.13810345702827553,under,under,over,False,False,20502375.0,under,22397616.07142857,under,False
2018-01-11 19:30:00,19700000.0,19682000.0,19579000.0,19980000.0,16561792196.1,835.38727399,19779500.0,17997000.0,19428500.0,21789750.0,22419500.0,-0.028901203547539556,-0.10163300386764074,-0.13347152354710684,under,under,over,False,True,20466775.0,under,22346089.285714287,under,False
2018-01-11 20:00:00,19682000.0,19368000.0,19250000.0,19717000.0,19028884748.0,979.92853934,19483500.0,17997000.0,19734500.0,21651000.0,22419500.0,-0.03549489630963928,-0.11124797905920394,-0.15069161085020658,under,under,over,False,False,20408400.0,under,22291633.92857143,under,False
2018-01-11 20:30:00,19370000.0,19260000.0,18201000.0,19549000.0,35790420210.7,1887.46658987,18875000.0,17997000.0,19724000.0,21461750.0,22419500.0,-0.04462590422495836,-0.13704635761589404,-0.18778807947019868,under,under,over,True,False,20347350.0,under,22238151.785714287,under,False
2018-01-11 21:00:00,19241000.0,19484000.0,19125000.0,19799000.0,21010215750.3,1076.04042595,19462000.0,17997000.0,19724000.0,21028250.0,22008000.0,-0.0465920844578127,-0.08047734045832905,-0.13081903195971636,under,under,over,False,True,20288900.0,under,22188455.35714286,under,False
2018-01-11 21:30:00,19487000.0,19640000.0,19333000.0,19640000.0,20267295236.8,1039.5276202,19486500.0,17997000.0,19402500.0,21028250.0,22008000.0,-0.0465920844578127,-0.07911887717137506,-0.12939727503656379,under,under,over,False,False,20229150.0,under,22139750.0,under,False
2018-01-11 22:00:00,19640000.0,19651000.0,19550000.0,19978000.0,23025055134.8,1164.72858236,19764000.0,17997000.0,19225500.0,20989500.0,22008000.0,-0.04852426213106553,-0.0620066788099575,-0.1135397692774742,under,under,over,False,False,20178900.0,under,22095857.14285714,under,False
2018-01-11 22:30:00,19676000.0,19998000.0,19627000.0,19999000.0,19760839560.4,999.30925619,19813000.0,17997000.0,19100000.0,20935250.0,21944500.0,-0.04820816565362248,-0.05664210366930803,-0.10758088123959017,under,under,over,False,False,20129150.0,under,22053669.64285714,under,False
2018-01-11 23:00:00,19999000.0,20040000.0,19722000.0,20440000.0,30803536272.9,1536.64304984,20081000.0,17997000.0,19320500.0,20935250.0,21944500.0,-0.04820816565362248,-0.04254021214082964,-0.09279916338827747,under,under,over,False,True,20076675.0,over,22014401.785714287,under,False
2018-01-11 23:30:00,20040000.0,20009000.0,19530000.0,20062000.0,28011984767.0,1409.57736336,19796000.0,17997000.0,19320500.0,20882750.0,21944500.0,-0.050843399456489205,-0.0548974540311174,-0.10853202667205496,under,under,over,True,False,20026900.0,under,21977294.64285714,under,False
2018-01-12 00:00:00,20009000.0,19816000.0,19701000.0,20402000.0,32026664135.3,1597.39077026,20051500.0,17752000.0,19320500.0,20882750.0,21944500.0,-0.050843399456489205,-0.04145575144004189,-0.09440690222676608,under,under,over,False,True,19980500.0,over,21935919.64285714,under,False
